"Rank","Root Domain","Linking Root Domains","Domain Authority"
"409","billboard.com","233,931","92"
"410","bustle.com","209,542","92"
"411","vox.com","471,287","92"
"412","bild.de","195,722","92"
"413","tagesspiegel.de","141,807","92"
"414","pnas.org","239,969","92"
"415","slate.com","396,163","92"
"416","cam.ac.uk","244,862","92"
"417","g.co","153,360","92"
"418","scoop.it","366,529","92"
"419","last.fm","438,984","92"
"420","impress.co.jp","129,190","92"
"421","variety.com","307,438","92"
"422","over-blog-kiwi.com","214,975","92"
"423","focus.de","160,813","92"
"424","umich.edu","358,227","92"
"425","frontiersin.org","224,654","92"
"426","fbcdn.net","704,818","92"
"427","cloud.google.com","181,832","92"
"428","lifehacker.com","237,771","92"
"429","flickr.com","9,108,822","92"
"430","thoughtco.com","371,326","92"
"431","gettyimages.com","391,939","92"
"432","sports.yahoo.com","225,413","92"
"433","iubenda.com","244,511","92"
"434","prnewswire.com","454,726","92"
"435","wordreference.com","126,822","92"
"436","adweek.com","206,449","92"
"437","usgs.gov","241,333","92"
"438","faz.net","193,910","92"
"439","tmz.com","231,372","92"
"440","feedburner.google.com","330,433","92"
"441","megaupload.com","257,669","92"
"442","steamcommunity.com","205,780","92"
"443","imgur.com","1,447,704","92"
"444","amazon.ca","238,277","92"
"445","asahi.com","200,345","92"
"446","about.me","362,196","92"
"447","ebay.co.uk","224,702","92"
"448","trustpilot.com","447,007","92"
"449","calameo.com","177,588","92"
"450","ctvnews.ca","196,192","92"
"451","businesswire.com","340,321","92"
"452","viglink.com","403,361","92"
"453","euronews.com","195,543","92"
"454","fifa.com","182,029","92"
"455","yale.edu","340,306","92"
"456","coursera.org","190,910","92"
"457","weather.com","232,480","92"
"458","ameblo.jp","736,083","92"
"459","zeit.de","188,812","92"
"460","behance.net","903,225","92"
"461","ucla.edu","280,106","92"
"462","alibaba.com","403,900","92"
"463","ameba.jp","161,629","92"
"464","rottentomatoes.com","255,709","92"
"465","goo.ne.jp","334,804","92"
"466","telegram.org","157,479","92"
"467","lonelyplanet.com","190,302","92"
"468","dynadot.com","816,792","92"
"469","tabelog.com","152,654","92"
"470","narod.ru","273,759","92"
"471","abc.com","175,367","92"
